code_dpto,dpto,code_muni,muni,Creditos,Monto,Socias,Anio
05,Nueva Segovia,0505,Jalapa,180,978200,180,2009
05,Nueva Segovia,0510,Murra,32,149600,32,2009
05,Nueva Segovia,0515,El Jicaro,107,563950,105,2009
05,Nueva Segovia,0520,San Fernando,27,137550,27,2009
05,Nueva Segovia,0525,Mozonte,12,64200,12,2009
05,Nueva Segovia,0530,Dipilto,10,51400,10,2009
05,Nueva Segovia,0535,Macuelizo,26,141200,26,2009
05,Nueva Segovia,0540,Santa Maria,20,110000,20,2009
05,Nueva Segovia,0545,Ocotal,223,1184700,217,2009
05,Nueva Segovia,0550,Ciudad Antigua,18,91750,18,2009
05,Nueva Segovia,0555,Quilali,49,265900,49,2009
05,Nueva Segovia,0560,Wiwili (N.S.),97,504550,58,2009
10,Jinotega,1005,Wiwili (Jin.),55,293500,55,2009
10,Jinotega,1010,El Cua,103,557500,103,2009
10,Jinotega,1012,San Jose de Bocay,81,436500,81,2009
10,Jinotega,1015,Santa Maria de Pantasma,105,526150,87,2009
10,Jinotega,1020,San Rafael del Norte,102,536550,90,2009
10,Jinotega,1025,San Sebastian de Yali,152,784550,149,2009
10,Jinotega,1030,La Concordia,30,162300,30,2009
10,Jinotega,1035,Jinotega,368,1989650,368,2009
20,Madriz,2005,Somoto,236,1265350,236,2009
20,Madriz,2010,Totogalpa,56,290750,56,2009
20,Madriz,2015,Telpaneca,97,491850,97,2009
20,Madriz,2020,San Juan de Rio Coco,151,798650,147,2009
20,Madriz,2025,Palacaguina,109,570500,109,2009
20,Madriz,2030,Yalaguina,94,504350,94,2009
20,Madriz,2035,San Lucas,10,47700,10,2009
20,Madriz,2040,Las Sabanas,24,120150,24,2009
20,Madriz,2045,San Jose de Cusmapa,6,33000,6,2009
25,Esteli,2505,Pueblo Nuevo,104,553900,104,2009
25,Esteli,2510,Condega,134,718950,134,2009
25,Esteli,2515,Esteli,1090,5938800,1023,2009
25,Esteli,2520,San Juan de Limay,93,507900,93,2009
25,Esteli,2525,La Trinidad,182,998300,182,2009
25,Esteli,2530,San Nicolas,16,73400,16,2009
